node_index,ct_code,population,area_km2,longitude,latitude
0,12103023200,3024,1.3118857437919158,-82.65083802857582,27.799367708069006
1,12103023300,2323,1.0570615937318202,-82.65365478946858,27.78848285138421
2,12103023400,1673,1.2185344494819237,-82.65363430845558,27.781123269102732
3,12103023500,3464,1.3111924351220552,-82.64264749454865,27.784758581926756
4,12103023600,2905,2.0623191503228058,-82.6255439334437,27.781614792506964
5,12103023700,2770,1.7037901441324483,-82.62611824234544,27.78793032537704
6,12103023800,2524,1.2461355810239525,-82.63882715961714,27.795602466902025
7,12103023900,2169,1.318722906166666,-82.63860414891145,27.80320934045946
8,12103024001,3312,4.541856994789946,-82.615655154986,27.795952493261396
9,12103024002,5955,3.392898912732916,-82.62509340236724,27.81248557548264
10,12103024004,5373,6.290234539701767,-82.602312249378,27.819568995315812
11,12103023000,2833,1.4761207058520829,-82.66724134076829,27.80244217446996
12,12103024301,4632,1.921725013910272,-82.6509562072524,27.83204256965554
13,12103022100,4760,2.225147719287325,-82.68965118823748,27.775932979222645
14,12103022902,3238,1.6848393660344896,-82.67368794491698,27.797825077284763
15,12103020201,5711,7.807498932338628,-82.66167111352699,27.730903585278426
16,12103020101,4855,3.577366370739814,-82.68616677439094,27.74345413890406
17,12103020105,5262,6.047535298660406,-82.6881989757277,27.721369829979047
18,12103020301,3063,2.5690615000031904,-82.64061928500682,27.729638519111546
19,12103024005,3214,3.028333490693201,-82.60472185041688,27.80735365863372
20,12103024100,4804,1.943586997479468,-82.64076770883507,27.814155877734954
21,12103024200,5617,2.7293471454102414,-82.65543846933352,27.814031374488053
22,12103024302,4772,2.333790071192253,-82.6599564254089,27.831541253002552
23,12103024403,4446,1.909420647401747,-82.64279450885948,27.8321494916714
24,12103021500,3607,2.149664487034958,-82.6323915214239,27.774175159498732
25,12103022000,3058,1.818489178743248,-82.68963884414205,27.766877627135504
26,12103021600,2496,1.3597302778932976,-82.6524034647462,27.77173358582115
27,12103021800,2516,2.1165375046128285,-82.66510185464033,27.769745440669592
28,12103021900,2832,2.35330006542014,-82.6754177632035,27.771353166455217
29,12103022200,4519,2.25299799051368,-82.70591990504052,27.772500564121035
30,12103022301,3009,1.89760126199962,-82.72287508878017,27.766745452325132
31,12103022302,3942,2.6308945411546225,-82.72431361417611,27.7758767863287
32,12103022401,3606,4.364144906961195,-82.74530919450383,27.76806753406703
33,12103024406,5619,2.885594035850134,-82.64276043988205,27.87972481726624
34,12103024412,4591,10.573160956318423,-82.65989287364374,27.87427988175817
35,12103024413,5366,2.453598171462605,-82.65440837981637,27.849933219742756
36,12103020209,4449,2.5239334934799813,-82.654102450026,27.704898604316195
37,12103020206,4572,1.723730036258838,-82.67162813574117,27.714441899583175
38,12103020202,3607,3.458862239967209,-82.63819747624272,27.71058864916045
39,12103990100,0,115.43224020675964,-82.60205547131625,27.725185979320088
40,12103022501,4934,2.8922521417140308,-82.7244818117809,27.786232229855933
41,12103022502,3698,2.247035637041593,-82.73581666328427,27.80168403425588
42,12103022503,5727,2.9376575049143536,-82.7204476838445,27.799950350707192
43,12103022601,3732,1.472249555628972,-82.70611341879474,27.78633683567412
44,12103022602,4545,2.2132329058297247,-82.70611890694174,27.79997394515939
45,12103022700,4191,2.4481138948444703,-82.68970197939991,27.786372487801806
46,12103022801,5383,2.053038077474126,-82.68978632343564,27.80370750486387
47,12103022802,3841,1.6196778016979338,-82.6896396121686,27.795503003587243
48,12103022901,3077,2.3478339298332487,-82.66855882493333,27.785644233425707
49,12103023100,2450,1.0929434562792566,-82.65843009681619,27.799623570496372
50,12103024411,4174,31.210514885222278,-82.59503293757871,27.852763428871157
51,12103028700,2243,1.82521020361336,-82.6611823429484,27.760295634482308
52,12103020108,2222,3.976788563560529,-82.71567599425683,27.705656730857935
53,12103020107,1637,4.40189362878266,-82.69706748414296,27.707655532532215
54,12103020207,2903,10.55896818952484,-82.67034246012076,27.679325362169468
55,12103028600,4608,4.026051856150602,-82.63244002439237,27.764003940558432
56,12103020208,2345,1.3185570860935851,-82.65464492678473,27.715721262019436
57,12103024409,2946,5.163553520796328,-82.62056527018491,27.837153078678107
58,12103024410,3487,1.8526027270363457,-82.64276698436812,27.853107059890636
59,12103024408,4506,1.7060172087351069,-82.63374287904973,27.829281036264238
60,12103022402,4643,7.764155677254717,-82.75151016618706,27.79361580747923
61,12103020400,2402,2.4473581027895848,-82.63032811870382,27.74864638159621
62,12103020500,4309,1.5988455534871442,-82.64254776597,27.75037426198939
63,12103020600,4267,1.7506924873842182,-82.65477935831284,27.747158488012026
64,12103020700,3237,1.9073117349683968,-82.66964612525003,27.749383782299933
65,12103020800,4799,2.560441124070788,-82.68889847457146,27.75723513847118
66,12103021200,2846,1.302579917777238,-82.65273374223555,27.75661810670768
67,12103020302,4315,3.173377464085299,-82.62897126959908,27.732118584994474
